api_developer_name,list_source,output_directory
Unity Health,https://dev-fhir.cinch-project.com/fhir,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/unity_health_5df0f38586eb37fb93564e7d287ac4af
Unknown,https://developer.bcbsfl.com/interop/interop-developer-portal/product/306/api/285#/CMSInteroperabilityPatientAccessMetadata_100/operation/%2FR4%2Fmetadata/get,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/unknown_b7a94b8c9ea98aaec14f70342c5d9a36
Unknown,https://developer.bcbsfl.com/interop/interop-developer-portal/product/309/api/288#/CMSInteroperabilityPayer2PayerOutboundMetadata_100/operation/%2FP2P%2FR4%2Fmetadata/get,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/unknown_33a17928a26d383643086787b0dc0761
Unknown,https://developer.cigna.com/docs/service-apis/patient-access/implementation-guide#Implementation-Guide-Base-URL,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/unknown_5511c63964ce61dc842bc957609a3674
Unknown,https://developers.humana.com/apis/patient-api/doc,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/unknown_515d419ef63aab1cc40cdef033651ca8
Streamline Healthcare Solutions,https://dhfhirpresentation.smartcarenet.com/fhir/r4/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/streamline_healthcare_solutions_e2d0c2171f9c96bbac4742605cfcb731
VisionWeb,https://dhpresentation.youruprise.com/fhir/r4/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/visionweb_9d4564248a8bea9e62da0f3b63071e6b
"Canvas Medical, Inc.",https://docs.canvasmedical.com/assets/static/fhir-service-base-urls-production.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/canvas_medical_inc_ac9d025266a298190ac28296d0db345d
Firely USA Inc.,https://docs.fire.ly/projects/Firely-Server/en/latest/_static/g10/EndpointBundleFirely.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/firely_usa_inc_9095790ca5ad973a3d6d48c427fea1b8
DOX EMR,https://doxpodfhir-dmezayd2cbead2f8.centralus-01.azurewebsites.net/api,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/dox_emr_e0e949f8576ab287f26ce968a70a07b2
